Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd7_SG225_211_2_bridge1-t-3    2.832    2.824    0.94    2.78    9.5    2    -1.638    1.389    5.105    8.337    0.562    9.292    0.805    2.2    1.957    0.123    this work
AgPd7_SG225_211_2_bridge1-t-4    2.832    2.82    0.94    2.78    9.5    2    -1.669    1.384    5.105    8.337    0.562    9.27    0.808    2.2    2.11    0.117    this work
AgPd7_SG225_211_2_bridge2-s-1    2.832    2.832    0.915    2.52    7.0    2    -2.37    1.106    5.105    7.957    0.933    9.588    0.756    2.065    0.907    0.175    this work
AgPd7_SG225_211_2_bridge2-s-2    2.832    2.798    0.94    2.78    7.0    2    -1.442    1.245    5.105    8.337    0.562    9.358    0.687    2.2    2.12    0.16    this work
AgPd7_SG225_211_2_bridge2-t-1    2.832    2.82    0.94    2.78    9.0    2    -1.59    1.349    5.105    8.337    0.562    9.295    0.79    2.2    1.801    0.14    this work
AgPd7_SG225_211_2_bridge2-t-2    2.832    2.82    0.94    2.78    9.0    2    -1.59    1.349    5.105    8.337    0.562    9.295    0.79    2.2    1.801    0.14    this work
AgPd7_SG225_211_2_bridge2-t-3    2.832    2.814    0.94    2.78    9.0    2    -1.606    1.362    5.105    8.337    0.562    9.273    0.778    2.2    2.074    0.123    this work
AgPd7_SG225_211_2_bridge2-t-4    2.832    2.814    0.94    2.78    9.0    2    -1.606    1.362    5.105    8.337    0.562    9.273    0.778    2.2    2.074    0.123    this work
AgPd7_SG225_211_2_fcc-s-1    2.832    2.812    0.94    2.78    8.333    3    -1.529    1.321    5.105    8.337    0.562    9.314    0.761    2.2    1.777    0.149    this work
AgPd7_SG225_211_2_fcc-s-2    2.832    2.836    0.923    2.607    8.333    3    -2.17    1.215    5.105    8.083    0.809    9.472    0.796    2.11    1.23    0.153    this work
AgPd7_SG225_211_2_fcc-s-3    2.832    2.808    0.94    2.78    8.333    3    -1.547    1.329    5.105    8.337    0.562    9.303    0.745    2.2    2.062    0.136    this work
AgPd7_SG225_211_2_fcc-s-4    2.832    2.809    0.94    2.78    8.333    3    -1.555    1.317    5.105    8.337    0.562    9.3    0.75    2.2    2.116    0.135    this work
AgPd7_SG225_211_2_fcc-t-1    2.832    2.844    0.923    2.607    9.667    3    -2.208    1.317    5.105    8.083    0.809    9.441    0.86    2.11    1.305    0.128    this work
AgPd7_SG225_211_2_fcc-t-2    2.832    2.825    0.94    2.78    9.667    3    -1.669    1.394    5.105    8.337    0.562    9.284    0.815    2.2    2.02    0.119    this work
AgPd7_SG225_211_2_four-fold-s-1    2.832    2.831    0.927    2.65    8.5    4    -2.036    1.258    5.105    8.147    0.748    9.439    0.795    2.133    1.45    0.146    this work
AgPd7_SG225_211_2_four-fold-s-2    2.832    2.827    0.927    2.65    8.5    4    -1.98    1.273    5.105    8.147    0.748    9.436    0.791    2.133    1.588    0.141    this work
AgPd7_SG225_211_2_hcp-s-1    2.832    2.828    0.923    2.607    7.667    3    -2.11    1.187    5.105    8.083    0.809    9.491    0.767    2.11    1.205    0.163    this work
